Year,Match Name,League Name,Club Name,Coach,Country Name,Manager,Owner,appearances,wins,losts,drawn,Net Worth
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,1,2,567856.00
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,0,2,567856.00
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,1,2,567856.00
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,3,4,567856.00
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,2,5,567856.00
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,3,3,2,567856.00
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,4,3,567856.00
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,3,4,567856.00
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,3,3,2,567856.00
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,3,3,2,567856.00
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,1,2,567856.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,2,5,1,756734.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,6,1,1,756734.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,5,1,2,756734.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,3,1,4,756734.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,3,2,3,756734.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,8,0,0,756734.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,4,3,1,756734.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,2,3,3,756734.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,4,3,1,756734.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,6,0,2,756734.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,2,2,4,756734.00
2010,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,6,2,0,756734.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,2,3,3,634633.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,4,3,1,634633.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,7,0,1,634633.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,4,3,1,634633.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,0,1,7,634633.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,1,0,7,634633.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,1,3,4,634633.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,1,5,2,634633.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,2,2,4,634633.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,7,0,1,634633.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,1,5,2,634633.00
2011,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,5,2,1,634633.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,5,3,0,756007.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,5,1,2,756007.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,2,1,5,756007.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,4,2,2,756007.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,2,1,5,756007.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,1,5,2,756007.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,3,2,3,756007.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,1,3,4,756007.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,4,3,1,756007.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,7,0,1,756007.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,3,2,3,756007.00
2012,Club,EPL,Arsenal,NA,NA,Caesar Townsend,Brandon Townsend,8,1,4,3,756007.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,1,6,1,563466.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,7,1,0,563466.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,0,3,5,563466.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,2,3,3,563466.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,2,3,3,563466.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,3,4,1,563466.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,5,3,0,563466.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,7,1,0,563466.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,6,2,0,563466.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,0,3,5,563466.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,5,0,3,563466.00
2010,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,4,0,4,563466.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,7,0,1,456344.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,5,3,0,456344.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,2,2,4,456344.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,3,3,2,456344.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,1,3,4,456344.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,2,3,3,456344.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,5,0,3,456344.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,4,3,1,456344.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,5,2,1,456344.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,5,3,0,456344.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,4,2,2,456344.00
2011,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,6,0,2,456344.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,7,0,1,576453.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,7,0,1,576453.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,3,3,2,576453.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,1,5,2,576453.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,3,3,2,576453.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,8,0,0,576453.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,2,4,2,576453.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,3,2,3,576453.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,2,3,3,576453.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,6,0,2,576453.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,4,3,1,576453.00
2012,Club,EPL,Aston Villa,NA,NA,Hamish Clayton,Sylvester Campos,8,2,3,3,576453.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,3,2,3,456344.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,6,2,0,456344.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,5,2,1,456344.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,5,2,1,456344.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,1,7,0,456344.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,0,6,2,456344.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,1,5,2,456344.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,2,5,1,456344.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,2,3,3,456344.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,2,2,4,456344.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,0,6,2,456344.00
2010,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,2,2,4,456344.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,5,2,1,756745.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,0,8,0,756745.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,1,5,2,756745.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,4,2,2,756745.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,3,1,4,756745.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,4,3,1,756745.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,4,2,2,756745.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,6,2,2,756745.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,4,3,1,756745.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,7,0,1,756745.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,3,5,0,756745.00
2011,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,3,2,3,756745.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,2,3,3,978976.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,2,3,3,978976.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,5,0,3,978976.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,1,3,4,978976.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,4,2,2,978976.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,2,2,4,978976.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,4,2,2,978976.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,6,2,0,978976.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,7,0,1,978976.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,5,3,0,978976.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,2,3,3,978976.00
2012,Club,LA Liga,Atheletico Bilbao,NA,NA,Murphy Strong,Erich Bird,8,1,1,6,978976.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,1,5,2,634633.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,1,5,2,634633.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,0,4,4,634633.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,3,5,0,634633.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,7,0,1,634633.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,3,5,0,634633.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,4,4,0,634633.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,3,1,4,634633.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,3,3,2,634633.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,4,2,2,634633.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,4,3,1,634633.00
2010,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,4,2,2,634633.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,1,3,4,346456.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,2,4,2,346456.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,4,2,2,346456.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,5,2,1,346456.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,1,4,3,346456.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,5,1,2,346456.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,2,3,3,346456.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,5,1,2,346456.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,5,2,1,346456.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,0,5,3,346456.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,4,2,2,346456.00
2011,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,4,4,0,346456.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,8,0,0,465634.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,0,3,5,465634.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,3,3,2,465634.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,3,3,2,465634.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,3,5,0,465634.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,3,3,2,465634.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,1,2,5,465634.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,7,1,0,465634.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,5,1,2,465634.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,6,1,1,465634.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,6,2,0,465634.00
2012,Club,LA Liga,Barcelona,NA,NA,Malik Sanders,Curran Drake,8,3,5,0,465634.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,1,3,4,567457.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,4,2,2,567457.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,3,3,2,567457.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,1,5,2,567457.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,1,5,2,567457.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,7,0,1,567457.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,4,3,1,567457.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,2,5,1,567457.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,5,2,1,567457.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,5,1,2,567457.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,6,2,0,567457.00
2010,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,4,2,2,567457.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,3,3,2,636466.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,3,3,2,636466.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,2,3,3,636466.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,8,0,0,636466.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,3,3,2,636466.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,7,0,1,636466.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,4,3,1,636466.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,6,1,1,636466.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,8,0,0,636466.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,3,3,2,636466.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,4,2,2,636466.00
2011,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,6,0,2,636466.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,6,2,0,457635.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,0,6,2,457635.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,6,2,0,457635.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,3,4,1,457635.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,3,3,2,457635.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,4,4,0,457635.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,1,3,4,457635.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,3,5,0,457635.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,4,4,0,457635.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,1,3,4,457635.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,0,3,5,457635.00
2012,Club,Bundesliga,Bayern Leverkusan,NA,NA,Mollie Ferguson,Hilel Nixon,8,2,1,5,457635.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,3,2,3,457645.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,6,2,4,457645.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,5,2,1,457645.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,8,0,0,457645.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,3,2,3,457645.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,3,2,3,457645.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,2,5,1,457645.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,1,5,2,457645.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,4,3,1,457645.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,7,0,1,457645.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,1,5,2,457645.00
2010,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,2,1,5,457645.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,7,0,1,645634.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,2,3,3,645634.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,6,1,1,645634.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,7,1,0,645634.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,5,0,3,645634.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,8,0,0,645634.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,2,2,4,645634.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,4,2,2,645634.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,7,1,0,645634.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,4,3,1,645634.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,7,1,0,645634.00
2011,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,5,3,1,645634.00
2012,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,1,3,4,457457.00
2012,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,2,3,3,457457.00
2012,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,2,3,3,457457.00
2012,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,5,3,0,457457.00
2012,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,2,3,3,457457.00
2012,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,6,0,2,457457.00
2012,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,5,2,1,457457.00
2012,Club,Bundesliga,Bayern Munich,NA,NA,Yvonne Bryan,Erich Navarro,8,4,1,3,457457.00
